tavg,prcp,snow,year,month,day,hour,wind,wind_flag
22.9,1,0,2021,6,22,0,20.7,0
20.9,1,0,2021,6,23,0,20.5,0
21.3,1,0,2021,6,24,0,20.3,0
22.1,1,0,2021,6,25,0,24.599999999999998,0
22.6,1,0,2021,6,26,0,24.049999999999997,0
23.4,1,0,2021,6,27,0,20.3,0
23.3,1,0,2021,6,28,0,18.9,0
23.4,1,0,2021,6,29,0,20.9,0
23.6,1,0,2021,6,30,0,22.200000000000003,0
24.1,1,0,2021,7,1,0,24.8,0
23.7,1,0,2021,7,2,0,22.9,0
24.3,1,0,2021,7,3,0,24.900000000000002,0
23.9,1,0,2021,7,4,0,22.700000000000003,0
24.1,1,0,2021,7,5,0,21.9,0
26.5,0,0,2021,7,6,0,21.5,0
24.4,1,0,2021,7,7,0,18.75,0
23.8,1,0,2021,7,8,0,23.95,0
24.2,1,0,2021,7,9,0,30.75,1
24.1,1,0,2021,7,10,0,30.65,1
24.6,1,0,2021,7,11,0,19.65,0
24.7,1,0,2021,7,12,0,22.85,0
22.6,1,0,2021,7,13,0,24.65,0
22.3,1,0,2021,7,14,0,23.8,0
23.3,1,0,2021,7,15,0,22.65,0
23.7,1,0,2021,7,16,0,21.4,0
23.8,1,0,2021,7,17,0,24.2,0
24.3,1,0,2021,7,18,0,25.6,0
26.1,1,0,2021,7,19,0,29.05,0
25.3,1,0,2021,7,20,0,27.45,0
25.7,1,0,2021,7,21,0,24.4,0
25.8,1,0,2021,7,22,0,27.1,0
26.1,1,0,2021,7,23,0,21.9,0
25.8,1,0,2021,7,24,0,24.849999999999998,0
25.3,1,0,2021,7,25,0,18.6,0
25.1,1,0,2021,7,26,0,19.4,0
25.0,1,0,2021,7,27,0,27.1,0
24.5,1,0,2021,7,28,0,23.35,0
24.6,1,0,2021,7,29,0,21.5,0
25.6,1,0,2021,7,30,0,21.450000000000003,0
25.4,0,0,2021,7,31,0,21.55,0
22.3,0,0,2021,8,1,0,20.049999999999997,0
23.2,1,0,2021,8,2,0,18.65,0
24.7,1,0,2021,8,3,0,23.85,0
